,title,company,location,count,summary,link,uniqueid
99,"Director, Data Science",Benefitfocus,"Charleston, SC",1,"            Master’s degree in Data Science, Mathematics, Computer Science, Engineering or related quantitative field and 3 years of experience in the job offered or as…",https://www.indeed.com/rc/clk?jk=dca5fc8ec3ca318a&fccid=ff72a9574709dc94&vjs=3,6b1f738d40223947463f15bee3c26e39
100,Data Scientist/Data Analyst,Plexus Scientific Corporation,"Washington, DC",1,"            5 to 8 years of industry experience to include a financial role in a manufacturing/assembly environment (forecasting, P&L, analyzing economic effects of pricing…",https://www.indeed.com/rc/clk?jk=8e12b8e3632a2a27&fccid=4d4a49f350058210&vjs=3,58a3fd23fa9df42621b9a5e30ab94342
101,Co-op: Human Performance/EHS Data Scientist,Biogen,"Research Triangle Park, NC",1,"            Own and develop Human Performance metrics with machine learning, natural learning processing, and data trending from DevonWay system.",https://www.indeed.com/rc/clk?jk=9da2531e857ace45&fccid=04233dcb6353e8e1&vjs=3,aba05b79e984f7140171aef299e51118
102,Data Scientist,ManTech International Corporation,"Herndon, VA",1,"            We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and…",https://www.indeed.com/rc/clk?jk=3c4227eca1ddd19c&fccid=578fa8376f4eec04&vjs=3,8bb5bdbeec28b8c9d42192943560bbeb
103,ATEP - Data Scientist,"Apogee Engineering, LLC","Langley AFB, VA",1,            Apogee is seeking a Data Scientist will be responsible for all data science and data characterization technologies. What you will be doing:,https://www.indeed.com/rc/clk?jk=04de1ea562e0e282&fccid=0cd3d40d522fa649&vjs=3,3c9dafe07660d72867367e44f58d9feb
104,"Associate Data Scientist, Consumer Analytics",Ally Financial Inc.,"Charlotte, NC",1,"            We extend equal employment opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion,…",https://www.indeed.com/rc/clk?jk=978fe4de51b57d7c&fccid=f8c85b296194776f&vjs=3,52a9d5bf6721ae4a17ae12da35c49f62
105,Associate Data Scientist (Full Time Starting Summer 2020),EAB,"Washington, DC",1,"            Your primary role on the Data Science team will be to build things — systems and frameworks for large-scale data analytics, workflow tools for machine learning,…",https://www.indeed.com/rc/clk?jk=3d46376452926cef&fccid=a168335bbdcce5e0&vjs=3,73209fc086c12ea4a433874522033960
106,Data Scientist 1,Bank of America,"Charlotte, NC",1,"            Deep knowledge of one area preferred. Collaborate with data architects, modelers and team members on project goals. Required Business Skills for Data Engineers.",https://www.indeed.com/rc/clk?jk=705327011ba0e2d6&fccid=5bd99dfa21c8a490&vjs=3,b2425a69424276a2918f638e395767d4
107,Data Scientist,Ally Financial Inc.,"Charlotte, NC",1,"            Ally offers a variety of benefits to protect your health and well-being, provide financial security and balance your work-life needs including:",https://www.indeed.com/rc/clk?jk=8eccfa5f695359df&fccid=f8c85b296194776f&vjs=3,761763bd709b5e4737a06dbd1ebfcc6a
108,Data Scientist,UNC Greensboro,"Greensboro, NC",1,"            Primarily responsible for analyzing available datasets, and building visualizations that surface actionable insights (usually via dashboards) for data-informed…",https://www.indeed.com/rc/clk?jk=5510e48777d1006c&fccid=b6fc8df259031f5d&vjs=3,8c6e81c4e839da96b75b09265c132697
109,Data Scientist,Jnit Technologies,"San Jose, CA",1,"            Ii) Hands on expertise and real life experience analyzing and building models leveraging Machine Learning , Deep Learning algorithms.",https://www.indeed.com/company/Jnit-Technologies/jobs/Data-Scientist-7f1bf50dfad15833?fccid=013d301c612556d0&vjs=3,3a82703a8c978f2be73f218dc6bcf094
110,Junior Data Scientist - Client Facing,IBM,NA,1,"            Led by a solution architect, you will advise on and help implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such…",https://www.indeed.com/rc/clk?jk=cd7ca219ea3bd909&fccid=de71a49b535e21cb&vjs=3,2312969731696ed00ce86fd3927bbfa2
111,Entry-Level) Data Scientist,Evolent Health,"Chicago, IL",1,"            You’ll join a team of data scientists, machine learning engineers, and cloud engineers working to push the boundaries of data science and Artificial…",https://www.indeed.com/rc/clk?jk=13c9ffc0bcb07c8d&fccid=3586973f5b1c82b8&vjs=3,542855af9c66ac294b17ac6e7886f7c6
112,Marketing Data Mining Scientist,Chase Bank,"Columbus, OH",1,            Candidate must possess excellent analytical skills with a minimum of 3 years of experience in applying statistical methods to real world problems.,https://www.indeed.com/rc/clk?jk=87f19405a4c85dc0&fccid=4597c5b3bc7fe4c2&vjs=3,64dc17478adc3374615d8baefbb0fe1a
113,"Data Scientist Intern, Boston",Spacemaker,"Boston, MA",1,            Breaking high-performance site development into its key quality components requires data scientists at Spacemaker to not only be exceptional in mathematics and…,https://www.indeed.com/rc/clk?jk=020c5d3fcc757260&fccid=79462bd4e96de970&vjs=3,ed1c9f1e29eb968d9d00c0e4ce57d3d0
