title,company,location,count,Job,JobType
"Data Scientist, Machine Learning",Metabolon,"Durham, NC",1,Job_67,Junior
Junior Machine Learning Engineer / Data Scientist,Fareportal Inc.,"New York, NY",1,Job_68,Junior
Data Scientist / Analyst,Smartlocating Corporation,NA,1,Job_69,Junior
Data Scientist - 64411BR,AETNA,"New York, NY",1,Job_70,Junior
Data Scientist (NC),Tiger Analytics,"Charlotte, NC",1,Job_71,Junior
Jr. Data Scientist,Viacom,"New York, NY",1,Job_72,Junior
Data Scientist,Beghou Consulting,NA,1,Job_73,Junior
Data Scientist,N C Q A,"Washington, DC",1,Job_74,Junior
Data Scientist,Billy Casper Golf,"Reston, VA",1,Job_75,Junior
"data scientist, Insights & Analytics - Seattle, WA",Starbucks,"Seattle, WA",1,Job_76,Junior
Data Scientist,Source Enterprises,"New York, NY",1,Job_77,Junior
Data Classification Specialist,Idiomatic,"Louis, MO",1,Job_78,Junior
Data Scientist,PrecisionGx,NA,1,Job_79,Junior
Junior Data Scientist,Spin Systems,"Charleston, SC",1,Job_80,Junior
Data Scientist,Kaplan,NA,1,Job_81,Junior
Data Scientist,Government of the District of Columbia,"Washington, DC",1,Job_82,Junior
Data Scientist,Citi,"New York, NY",1,Job_83,Junior
Data Scientist (Summer Intern),Coupang,"Mountain View, CA",1,Job_84,Entry
Data Scientist,TechnologyAdvice,"Nashville, TN",1,Job_85,Junior
DATA SCIENTIST,BlueCross BlueShield of South Carolina,"Columbia, SC",1,Job_86,Junior
Data Scientist,UCLA Health,"Los Angeles, CA",1,Job_87,Junior
Healthcare Data Scientist,ClosedLoop.ai,"Austin, TX",1,Job_88,Junior
Data Scientist 2/3 - Secret,Cleared Recruiters,"Chantilly, VA",1,Job_89,Junior
"Data Scientist, Entity Resolution and Data Linking",Equifax,"Alpharetta, GA",1,Job_90,Junior
Data Scientist,Cognistx,"Pittsburgh, PA",1,Job_91,Junior
"Internships, Data Strategy/Data Science- Summer 2020",SILVERLINK TECHNOLOGIES LLC,NA,1,Job_92,Entry
Senior Data Scientist,Charles River Laboratories,"Atlanta, GA",1,Job_93,Senior
Data Review Scientist,UNC-Chapel Hill,"Newark, DE",1,Job_94,Junior
Statistician Investigator,red violet,"Chapel Hill, NC",1,Job_95,Junior
Data Scientist,"OptivityX,LLC","Seattle, WA",1,Job_96,Junior
Data Scientist,Valassis Digital,"Conshohocken, PA",1,Job_97,Junior
Data Scientist,Jar House,"Morrisville, NC",1,Job_98,Junior
"Director, Data Science",Benefitfocus,"Charleston, SC",1,Job_99,Junior
Data Scientist/Data Analyst,Plexus Scientific Corporation,"Washington, DC",1,Job_100,Junior
Co-op: Human Performance/EHS Data Scientist,Biogen,"Research Triangle Park, NC",1,Job_101,Junior
Data Scientist,ManTech International Corporation,"Herndon, VA",1,Job_102,Junior
ATEP - Data Scientist,"Apogee Engineering, LLC","Langley AFB, VA",1,Job_103,Junior
"Associate Data Scientist, Consumer Analytics",Ally Financial Inc.,"Charlotte, NC",1,Job_104,Junior
Associate Data Scientist (Full Time Starting Summer 2020),EAB,"Washington, DC",1,Job_105,Junior
Data Scientist 1,Bank of America,"Charlotte, NC",1,Job_106,Junior
Data Scientist,Ally Financial Inc.,"Charlotte, NC",1,Job_107,Junior
Data Scientist,UNC Greensboro,"Greensboro, NC",1,Job_108,Junior
Data Scientist,Jnit Technologies,"San Jose, CA",1,Job_109,Junior
Junior Data Scientist - Client Facing,IBM,NA,1,Job_110,Junior
Entry-Level) Data Scientist,Evolent Health,"Chicago, IL",1,Job_111,Entry
Marketing Data Mining Scientist,Chase Bank,"Columbus, OH",1,Job_112,Junior
"Data Scientist Intern, Boston",Spacemaker,"Boston, MA",1,Job_113,Entry
Data Scientist - Batteries,Apple,"Santa Clara Valley, CA",1,Job_114,Junior
Data Scientist,Blue Cross Blue Shield of North Carolina,"Durham, NC",1,Job_115,Junior
Data Scientist,ISE Data Systems,"Reston, VA",1,Job_116,Junior
Data Scientist,Paylocity,NA,1,Job_117,Junior
Data Scientist – Generalist,ODSC Hiring Partner,"San Francisco Bay Area, CA",1,Job_118,Junior
Data Scientist,"OneSource IT, Inc.","Reston, VA",1,Job_119,Junior
Data Scientist,General Dynamics Information Technology,"Chantilly, VA",1,Job_120,Junior
Data Scientist,Colsh Consultants,NA,1,Job_121,Junior
Data Scientist,Pivotal Software,"New York, NY",1,Job_122,Junior
Data Scientist,Next Level Resources,"Hartford, CT",1,Job_123,Junior
Data Scientist Analyst,Optimal,"Dearborn, MI",1,Job_124,Junior
Data Scientist-Remote,"SemanticBits, LLC","Herndon, VA",1,Job_125,Junior
Data Scientist,Oath Inc,"Champaign, IL",1,Job_126,Junior
"Data Scientist, New Graduate (2020)",Duolingo University Programs,"Pittsburgh, PA",1,Job_127,Junior
Data Scientist - Hux,Deloitte,"Greensboro, NC",1,Job_128,Junior
Data Scientist (Full Time) - United States,Cisco Careers,"San Jose, CA",1,Job_129,Junior
Federal - Data Scientist,Accenture,"Washington, DC",1,Job_130,Junior
Data Scientist,LOCKHEED MARTIN CORPORATION,"Fort Worth, TX",1,Job_131,Junior
Data Scientist,aThingz Inc.,"Southfield, MI",1,Job_132,Junior
Data Scientist,Perpay Inc.,"Philadelphia, PA",1,Job_133,Junior
Principal Data Scientist – Data Sciences & Prevention Biomar...,ODSC Hiring Partner,"San Francisco Bay Area, CA",1,Job_134,Junior
Data Scientist,Meduit,"Charlotte, NC",1,Job_135,Junior
Senior Data Scientist - Sports,Zelus Analytics,"Austin, TX",1,Job_136,Senior
Data Scientist,"Armaments Research Company, Inc.","Washington, DC",1,Job_137,Junior
"Data Scientist, Analytics (University Grad)",Facebook,"New York, NY",1,Job_138,Junior
Computational Scientist – Physics based identification of an...,National Renewable Energy Laboratory,NA,1,Job_139,Junior
Data Scientist,Gap Inc.,"San Francisco, CA",1,Job_140,Junior
Data Scientist,NBCUniversal,"Beverly Hills, CA",1,Job_141,Junior
Data Scientist,Avancer Corporation,"East Liberty, OH",1,Job_142,Junior
Data Scientist,Dhanutek,"Research Triangle Park, NC",1,Job_143,Junior
Data Scientist,NetOrbit,"Atlanta, GA",1,Job_144,Junior
Engineering Data Scientist,Delphinus Engineering,"Philadelphia, PA",1,Job_145,Junior
Data Scientist,"World Wide Technology, Inc.",NA,1,Job_146,Junior
V.I.E. - Data Scientist,SCOR,"Charlotte, NC",1,Job_147,Junior
Data Science Consultant,Numerodata LLC,"Herndon, VA",1,Job_148,Junior
Data Scientist,Concur Technologies,"Bellevue, WA",1,Job_149,Junior
Data Scientist,"NextQA, Inc","Woodlawn, MD",1,Job_150,Junior
Data Engineer,DGN Technologies,"Sunnyvale, CA",1,Job_151,Junior
Data Scientist - Support Engineer,JP Morgan Chase,"Newark, DE",1,Job_152,Junior
Data Scientist (Machine Learning),Lat. Inc.,"Reston, VA",1,Job_153,Junior
Data Scientist,Dow Jones,"New York, NY",1,Job_154,Junior
"Data Scientist, Marketplace – all levels",Spotify,"New York, NY",1,Job_155,Junior
Data Scientist,IBM,"Knoxville, TN",1,Job_156,Junior
Data Scientist,CACI,"Sandy Springs, GA",1,Job_157,Junior
Data Scientist,Facebook,"Chantilly, VA",1,Job_158,Junior
Data Scientist,Echo Global Logistics,"Seattle, WA",1,Job_159,Junior
Data Scientist,BestReviews,"Chicago, IL",1,Job_160,Junior
Data Scientist,Jar House,"San Francisco, CA",1,Job_161,Junior
Data Scientist,"OptivityX,LLC","Atlanta, GA",1,Job_162,Junior
Data Scientist,Capital Lighting Fixture Company,"Conshohocken, PA",1,Job_163,Junior
Data Scientist,Seen by Indeed,"Flowery Branch, GA",1,Job_164,Junior
Data Scientist,Valassis Digital,"Chicago, IL",1,Job_165,Junior
Data Scientist,Lat. Inc.,"Morrisville, NC",1,Job_166,Junior
Data Scientist I,"Interos, Inc.","Arlington, VA",1,Job_167,Junior
Snowflake Data Scientist,Sense Corp,"Louis, MO",1,Job_168,Junior
